Ticker,Type,Exchange,Expiration Date,Multiplier,Base currency ,Symbol,Quote currency
EWP,STK,SMART,,,USD,,
EWQ,STK,SMART,,,USD,,
EWS,STK,SMART,,,USD,,
EWW,STK,SMART,,,USD,,
EWY,STK,SMART,,,USD,,
EWZ,STK,SMART,,,USD,,
EXS1,STK,SMART,,,USD,,
EZA,STK,SMART,,,USD,,
FEZ,STK,SMART,,,USD,,
FXI,STK,SMART,,,USD,,
IDX,STK,SMART,,,USD,,
INDA,STK,MEXI,,,USD,,
INDY,STK,SMART,,,USD,,
KBA,STK,SMART,,,USD,,
KWEB,STK,SMART,,,USD,,
RSX,STK,SMART,,,USD,,
SX7E,IND,DTB,,,USD,,
THD,STK,SMART,,,USD,,
TUR,STK,SMART,,,USD,,
VNM,STK,SMART,,,USD,,
HUT,STK,SMART,,,USD,,
BTBT,STK,SMART,,,USD,,
HIVE,STK,SMART,,,USD,,
RIOT,STK,SMART,,,USD,,
GLXY,STK,SMART,,,USD,,
SQ,STK,SMART,,,USD,,
MSTR,STK,SMART,,,USD,,
VYGR,STK,SMART,,,USD,,
COIN,STK,SMART,,,USD,,
CMCSA,STK,SMART,,,USD,,
TWTR,STK,SMART,,,USD,,
NFLX,STK,SMART,,,USD,,
FB,STK,SMART,,,USD,,
DIS,STK,SMART,,,USD,,
GOOG,STK,SMART,,,USD,,
DB,STK,SMART,,,USD,,
MS,STK,SMART,,,USD,,
GS,STK,SMART,,,USD,,
BRK B,STK,SMART,,,USD,,
C,STK,SMART,,,USD,,
BAC,STK,SMART,,,USD,,
JPM,STK,SMART,,,USD,,
IBKR,STK,SMART,,,USD,,
SCHW,STK,SMART,,,USD,,
WFC,STK,SMART,,,USD,,
V,STK,SMART,,,USD,,
ADBE,STK,SMART,,,USD,,
AMD,STK,SMART,,,USD,,
MSFT,STK,SMART,,,USD,,
AAPL,STK,SMART,,,USD,,
INTC,STK,SMART,,,USD,,
CRM,STK,SMART,,,USD,,
PYPL,STK,SMART,,,USD,,
CSCO,STK,SMART,,,USD,,
NVDA,STK,SMART,,,USD,,
PEP,STK,SMART,,,USD,,
WMT,STK,SMART,,,USD,,
KO,STK,SMART,,,USD,,
PG,STK,SMART,,,USD,,
COST,STK,SMART,,,USD,,
SBUX,STK,SMART,,,USD,,
NKE,STK,SMART,,,USD,,
HD,STK,SMART,,,USD,,
AMZN,STK,SMART,,,USD,,
MCD,STK,SMART,,,USD,,
FDX,STK,SMART,,,USD,,
GM,STK,SMART,,,USD,,
DUK,STK,SMART,,,USD,,
NEE,STK,SMART,,,USD,,
AEP,STK,SMART,,,USD,,
SO,STK,SMART,,,USD,,
D,STK,SMART,,,USD,,
CVX,STK,SMART,,,USD,,
XOM,STK,SMART,,,USD,,
PHG,STK,SMART,,,USD,,
MRK,STK,SMART,,,USD,,
UNH,STK,SMART,,,USD,,
GILD,STK,SMART,,,USD,,
ABBV,STK,SMART,,,USD,,
JNJ,STK,SMART,,,USD,,
BA,STK,SMART,,,USD,,
LMT,STK,SMART,,,USD,,
MMM,STK,SMART,,,USD,,
GE,STK,SMART,,,USD,,
UNP,STK,SMART,,,USD,,
CAT,STK,SMART,,,USD,,
HON,STK,SMART,,,USD,,
TSLA,STK,SMART,,,USD,,
GOLD,STK,SMART,,,USD,,
MAG,STK,SMART,,,USD,,
TRX,STK,SMART,,,USD,,
WDOFF,STK,SMART,,,USD,,
AEM,STK,SMART,,,USD,,
AG,STK,SMART,,,USD,,
SILJ,STK,SMART,,,USD,,
KL,STK,SMART,,,USD,,
MSOS,STK,SMART,,,USD,,
GME,STK,SMART,,,USD,,
